DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,TRAIN,LOSS,0.579986198086872
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,TRAIN,ACC1,78.88083333333333
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,HYPER,LR,0.5
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,VALID,LOSS,0.5605642568469802
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,VALID,ACC1,79.43421052631578
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,TRAIN,LOSS,0.4714007028991818
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,TRAIN,ACC1,83.8675
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,HYPER,LR,0.5
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,VALID,LOSS,0.6530274132912665
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,VALID,ACC1,70.96052631578948
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,TRAIN,LOSS,0.42827224637084077
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,TRAIN,ACC1,85.645
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,HYPER,LR,0.5
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,VALID,LOSS,0.382323993265681
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,VALID,ACC1,87.0
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,TRAIN,LOSS,0.4026834695174257
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,TRAIN,ACC1,86.75416666666666
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,HYPER,LR,0.5
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,VALID,LOSS,0.3885283306622521
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,VALID,ACC1,86.96052631578948
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,TRAIN,LOSS,0.3825165251571771
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,TRAIN,ACC1,87.57583333333334
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,HYPER,LR,0.5
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,VALID,LOSS,0.39428834884033037
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,VALID,ACC1,87.46052631578948
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,TRAIN,LOSS,0.36670186055314663
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,TRAIN,ACC1,88.18833333333333
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,HYPER,LR,0.5
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,VALID,LOSS,0.37640899403901384
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,VALID,ACC1,87.92105263157895
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,7,TRAIN,LOSS,0.34728070838921543
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,7,TRAIN,ACC1,89.02666666666667
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,7,HYPER,LR,0.5
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,7,VALID,LOSS,0.34685469476712266
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,7,VALID,ACC1,88.64473684210526
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,8,TRAIN,LOSS,0.3371444635234805
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,8,TRAIN,ACC1,89.45333333333333
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,8,HYPER,LR,0.5
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,8,VALID,LOSS,0.3040919441228993
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,8,VALID,ACC1,89.97368421052632
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,9,TRAIN,LOSS,0.32876293252907396
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,9,TRAIN,ACC1,89.73166666666667
