DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.821028803100586
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,32.304
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,1,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,1,VALID,LOSS,1.5146729137420654
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,1,VALID,ACC1,42.56999999999999
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.2128784484100341
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,56.12200000000001
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,2,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,2,VALID,LOSS,1.2152165517807008
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,2,VALID,ACC1,58.410000000000004
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.9597823433303833
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,65.916
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,3,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.9717716688156128
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,3,VALID,ACC1,67.49000000000001
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.8304865975952148
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,70.486
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,4,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.8098651711463928
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,4,VALID,ACC1,71.53
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.7387629189491272
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,73.798
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,5,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,5,VALID,LOSS,0.7228728036880493
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,5,VALID,ACC1,75.09
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.6599641197299957
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,76.664
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,6,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,6,VALID,LOSS,0.6731574931144715
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,6,VALID,ACC1,76.49000000000001
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.607206749305725
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,78.918
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,7,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,7,VALID,LOSS,0.6545864396572113
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,7,VALID,ACC1,77.83
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.5586947302055358
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,80.458
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,8,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,8,VALID,LOSS,0.6601294596672058
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,8,VALID,ACC1,77.33
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.5216937137031555
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,82.04
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,9,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,9,VALID,LOSS,0.5509814906120301
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,9,VALID,ACC1,80.97999999999999
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.48896194511413577
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,10,TRAIN,ACC1,83.138
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,10,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,10,VALID,LOSS,0.6186867150306702
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,10,VALID,ACC1,79.75999999999999
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,11,TRAIN,LOSS,0.4579747761154175
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,11,TRAIN,ACC1,84.222
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,11,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,11,VALID,LOSS,0.5218658762931824
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,11,VALID,ACC1,82.35
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,12,TRAIN,LOSS,0.43545010234832765
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,12,TRAIN,ACC1,84.846
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,12,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,12,VALID,LOSS,0.5362188941478729
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,12,VALID,ACC1,82.36
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,13,TRAIN,LOSS,0.4086389525318146
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,13,TRAIN,ACC1,85.70400000000001
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,13,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0_af_bf0.9_bs0.99,1,13,VALID,LOSS,0.5393394758224487
