DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,3.050608905808744
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,62.097500000000004
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,1,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,1,VALID,LOSS,3.8567027972200116
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,1,VALID,ACC1,51.85526315789474
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,2.9378922591424783
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,66.53666666666666
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,2,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,2,VALID,LOSS,1.894077849872015
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,2,VALID,ACC1,65.22368421052632
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,2.7427068476200094
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,68.00833333333334
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,3,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,3,VALID,LOSS,3.802246227302002
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,3,VALID,ACC1,51.71052631578947
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,2.785853164654271
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,4,TRAIN,ACC1,68.035
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,4,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,4,VALID,LOSS,2.8781573342033013
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,4,VALID,ACC1,59.01315789473684
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,5,TRAIN,LOSS,2.7211813452819538
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,5,TRAIN,ACC1,68.51833333333333
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,5,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,5,VALID,LOSS,3.637903076804254
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,5,VALID,ACC1,54.01315789473684
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,6,TRAIN,LOSS,2.67429679174262
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,6,TRAIN,ACC1,69.46333333333334
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,6,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,6,VALID,LOSS,4.073948970396145
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,6,VALID,ACC1,49.81578947368421
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,7,TRAIN,LOSS,2.6776409905844525
agnews,rcnn,sgd_l0.1_e10_w0.0001_m0.9_nf,1,7,TRAIN,ACC1,69.06583333333333
