DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.37573201628017894
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,87.18
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,1,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.44724470772596897
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,1,VALID,ACC1,83.51315789473685
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.31343515440491293
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,90.01166666666667
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,2,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.3874854715891849
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,2,VALID,ACC1,86.52631578947368
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.28545493285508977
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,91.06583333333333
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,3,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.3448563101647497
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,3,VALID,ACC1,87.88157894736842
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.2614223885075767
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,91.85083333333334
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,4,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.4155538880944275
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,4,VALID,ACC1,86.25
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.24365485767339948
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,92.54916666666666
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,5,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,5,VALID,LOSS,0.33604616685072847
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,5,VALID,ACC1,88.35526315789474
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.22784295700449678
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,93.11
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,6,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,6,VALID,LOSS,0.27920761180953296
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,6,VALID,ACC1,90.6842105263158
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.2126662202388381
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,93.5925
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,7,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,7,VALID,LOSS,0.29299602815989256
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,7,VALID,ACC1,90.90789473684211
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.2010623788100974
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,94.04
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,8,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,8,VALID,LOSS,0.28720975449044217
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,8,VALID,ACC1,90.39473684210526
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.1895068518901704
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,94.5325
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,9,HYPER,LR,0.001
