DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,28.82866623579026
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,26.98666666666667
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,1,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,1,VALID,LOSS,30.89391191595429
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,1,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,28.924628462854958
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,27.00083333333333
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,2,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,2,VALID,LOSS,26.902261936477753
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,2,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,28.737956038096986
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,27.310833333333328
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,3,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,3,VALID,LOSS,27.180164085116367
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,3,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,28.358915832450926
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,27.74833333333333
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,4,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,4,VALID,LOSS,26.499450283111806
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,4,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,29.01465518021808
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,26.7825
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,5,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,5,VALID,LOSS,35.94920686587936
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,5,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,6,TRAIN,LOSS,28.872767496563885
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,6,TRAIN,ACC1,26.853333333333328
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,6,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,6,VALID,LOSS,36.77229423879428
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,6,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,7,TRAIN,LOSS,28.783196467878113
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,7,TRAIN,ACC1,26.73916666666667
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,7,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,7,VALID,LOSS,37.02092853697646
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,7,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,8,TRAIN,LOSS,28.692524282131327
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,8,TRAIN,ACC1,27.297499999999996
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,8,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,8,VALID,LOSS,35.28076973952883
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,8,VALID,ACC1,24.973684210526315
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,9,TRAIN,LOSS,28.225294913848018
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,9,TRAIN,ACC1,28.90083333333333
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,9,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,9,VALID,LOSS,33.63232917914682
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,9,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,10,TRAIN,LOSS,28.994060514768023
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,10,TRAIN,ACC1,26.499166666666664
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,10,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,10,VALID,LOSS,39.54880359153558
agnews,rcnn,sgd_l0.5_e10_w0.0001_m0.9_nt,1,10,VALID,ACC1,25.0
