DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,TRAIN,LOSS,1.92078806640625
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,TRAIN,ACC1,28.803999999999995
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,VALID,LOSS,1.7914860334396363
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,VALID,ACC1,33.120000000000005
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,TRAIN,LOSS,1.718638931503296
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,TRAIN,ACC1,36.392
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,VALID,LOSS,1.6539299793243407
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,VALID,ACC1,37.91
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,TRAIN,LOSS,1.5766989810562133
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,TRAIN,ACC1,41.498000000000005
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,VALID,LOSS,1.911743447113037
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,VALID,ACC1,36.61
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,TRAIN,LOSS,1.467715266494751
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,TRAIN,ACC1,45.996
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,VALID,LOSS,1.4467365513801576
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,VALID,ACC1,46.41
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,5,TRAIN,LOSS,1.3591783930587769
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,5,TRAIN,ACC1,50.144
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,5,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,5,VALID,LOSS,1.471657638168335
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,5,VALID,ACC1,46.650000000000006
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,6,TRAIN,LOSS,1.2646849224090577
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,6,TRAIN,ACC1,53.71600000000001
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,6,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,6,VALID,LOSS,1.3235728525161743
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,6,VALID,ACC1,52.07999999999999
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,7,TRAIN,LOSS,1.1801322733306885
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,7,TRAIN,ACC1,57.26800000000001
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,7,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,7,VALID,LOSS,1.19936298494339
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,7,VALID,ACC1,56.400000000000006
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,8,TRAIN,LOSS,1.1108931533813478
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,8,TRAIN,ACC1,59.512
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,8,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,8,VALID,LOSS,1.2037766653060913
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,8,VALID,ACC1,57.92999999999999
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,9,TRAIN,LOSS,1.0416496288299562
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,9,TRAIN,ACC1,62.144
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,9,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,9,VALID,LOSS,1.083856330871582
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,9,VALID,ACC1,60.6
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,10,TRAIN,LOSS,0.9810770780563355
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,10,TRAIN,ACC1,64.648
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,10,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,10,VALID,LOSS,1.1237662298202515
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,10,VALID,ACC1,60.31999999999999
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,11,TRAIN,LOSS,0.9286216810035706
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,11,TRAIN,ACC1,66.928
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,11,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,11,VALID,LOSS,1.221225247001648
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,11,VALID,ACC1,57.919999999999995
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,12,TRAIN,LOSS,0.8828991660690307
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,12,TRAIN,ACC1,68.44399999999999
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,12,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,12,VALID,LOSS,1.1799608044624328
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,12,VALID,ACC1,62.13999999999999
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,13,TRAIN,LOSS,0.8420151690673828
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,13,TRAIN,ACC1,69.866
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,13,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,13,VALID,LOSS,0.9834315916061401
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,13,VALID,ACC1,65.13
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,14,TRAIN,LOSS,0.8041804096221924
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,14,TRAIN,ACC1,71.286
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,14,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,14,VALID,LOSS,1.0709631061553955
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,14,VALID,ACC1,63.690000000000005
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,15,TRAIN,LOSS,0.7680053779792786
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,15,TRAIN,ACC1,72.548
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,15,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,15,VALID,LOSS,1.1983029830932617
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,15,VALID,ACC1,63.660000000000004
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,16,TRAIN,LOSS,0.7326397145271302
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,16,TRAIN,ACC1,73.966
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,16,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,16,VALID,LOSS,0.7937967080116272
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,16,VALID,ACC1,71.85000000000001
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,17,TRAIN,LOSS,0.6991518284225464
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,17,TRAIN,ACC1,75.144
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,17,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,17,VALID,LOSS,0.7581618885040283
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,17,VALID,ACC1,73.64
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,18,TRAIN,LOSS,0.6679125771141052
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,18,TRAIN,ACC1,76.524
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,18,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,18,VALID,LOSS,1.1663439167022704
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,18,VALID,ACC1,65.42
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,19,TRAIN,LOSS,0.6363742715644837
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,19,TRAIN,ACC1,77.60400000000001
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,19,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,19,VALID,LOSS,1.1523874977111817
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,19,VALID,ACC1,66.38
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,20,TRAIN,LOSS,0.6119660786437988
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,20,TRAIN,ACC1,78.432
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,20,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,20,VALID,LOSS,0.7326227071762085
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,20,VALID,ACC1,74.74000000000001
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,21,TRAIN,LOSS,0.5808830508804321
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,21,TRAIN,ACC1,79.594
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,21,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,21,VALID,LOSS,0.811992961883545
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,21,VALID,ACC1,72.8
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,22,TRAIN,LOSS,0.5566946243667602
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,22,TRAIN,ACC1,80.438
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,22,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,22,VALID,LOSS,0.7666667134284973
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,22,VALID,ACC1,75.29
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,23,TRAIN,LOSS,0.5322949902153015
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,23,TRAIN,ACC1,81.296
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,23,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,23,VALID,LOSS,0.6280189996719361
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,23,VALID,ACC1,78.95
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,24,TRAIN,LOSS,0.5119011264038086
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,24,TRAIN,ACC1,82.114
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,24,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,24,VALID,LOSS,0.6405862712502479
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,24,VALID,ACC1,78.37
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,25,TRAIN,LOSS,0.4893964294242859
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,25,TRAIN,ACC1,82.99799999999999
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,25,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,25,VALID,LOSS,0.6737995787620544
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,25,VALID,ACC1,77.57000000000001
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,26,TRAIN,LOSS,0.4690102385997772
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,26,TRAIN,ACC1,83.588
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,26,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,26,VALID,LOSS,0.6467259189605713
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,26,VALID,ACC1,78.7
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,27,TRAIN,LOSS,0.45659977747917174
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,27,TRAIN,ACC1,83.964
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,27,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,27,VALID,LOSS,0.6453435466766357
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,27,VALID,ACC1,79.14
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,28,TRAIN,LOSS,0.43638722438812255
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,28,TRAIN,ACC1,84.944
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,28,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,28,VALID,LOSS,0.6761876438140869
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,28,VALID,ACC1,78.14999999999999
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,29,TRAIN,LOSS,0.42109541425704955
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,29,TRAIN,ACC1,85.31
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,29,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,29,VALID,LOSS,0.7028986125946045
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,29,VALID,ACC1,77.23
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,30,TRAIN,LOSS,0.40704116786956784
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,30,TRAIN,ACC1,85.802
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,30,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,30,VALID,LOSS,0.6051806827545166
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,30,VALID,ACC1,80.11
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,31,TRAIN,LOSS,0.39130612531661985
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,31,TRAIN,ACC1,86.3
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,31,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,31,VALID,LOSS,0.792884964466095
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,31,VALID,ACC1,75.64999999999999
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,32,TRAIN,LOSS,0.38005911745071413
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,32,TRAIN,ACC1,86.882
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,32,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,32,VALID,LOSS,0.6677855261802673
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,32,VALID,ACC1,78.88
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,33,TRAIN,LOSS,0.3641108071327209
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,33,TRAIN,ACC1,87.406
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,33,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,33,VALID,LOSS,0.6457377840042114
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,33,VALID,ACC1,80.18
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,34,TRAIN,LOSS,0.35033681966781616
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,34,TRAIN,ACC1,87.712
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,34,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,34,VALID,LOSS,0.5738493103981018
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,34,VALID,ACC1,81.95
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,35,TRAIN,LOSS,0.3417893014717102
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,35,TRAIN,ACC1,87.94
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,35,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,35,VALID,LOSS,0.5260947951316833
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,35,VALID,ACC1,83.11999999999999
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,36,TRAIN,LOSS,0.3260334043645859
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,36,TRAIN,ACC1,88.678
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,36,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,36,VALID,LOSS,0.605657476234436
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,36,VALID,ACC1,81.14
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,37,TRAIN,LOSS,0.31669883188247683
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,37,TRAIN,ACC1,88.942
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,37,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,37,VALID,LOSS,0.5697911542892456
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,37,VALID,ACC1,82.74000000000001
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,38,TRAIN,LOSS,0.3083071692419052
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,38,TRAIN,ACC1,89.106
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,38,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,38,VALID,LOSS,0.5048773906707764
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,38,VALID,ACC1,83.99
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,39,TRAIN,LOSS,0.2929096894645691
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,39,TRAIN,ACC1,89.838
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,39,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,39,VALID,LOSS,0.5167206501483917
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,39,VALID,ACC1,83.82000000000001
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,40,TRAIN,LOSS,0.2879691738128662
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,40,TRAIN,ACC1,90.05199999999999
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,40,HYPER,LR,0.01
