DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,1,TRAIN,LOSS,1.600494500579834
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,1,TRAIN,ACC1,41.342
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,1,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,1,VALID,LOSS,1.3928861995697022
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,1,VALID,ACC1,49.51
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,2,TRAIN,LOSS,1.2891467899703979
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,2,TRAIN,ACC1,53.242
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,2,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,2,VALID,LOSS,1.2198024166107178
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,2,VALID,ACC1,55.89999999999999
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,3,TRAIN,LOSS,1.1636182693481445
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,3,TRAIN,ACC1,58.474000000000004
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,3,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,3,VALID,LOSS,1.1318290641784667
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,3,VALID,ACC1,59.5
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,4,TRAIN,LOSS,1.0781597623443604
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,4,TRAIN,ACC1,61.681999999999995
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,4,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,4,VALID,LOSS,1.0886728929519653
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,4,VALID,ACC1,61.13999999999999
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,5,TRAIN,LOSS,1.0083903146743773
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,5,TRAIN,ACC1,64.068
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,5,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,5,VALID,LOSS,1.0109197761535644
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,5,VALID,ACC1,63.739999999999995
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,6,TRAIN,LOSS,0.9566244102096557
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,6,TRAIN,ACC1,65.762
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,6,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,6,VALID,LOSS,0.9862039083480835
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,6,VALID,ACC1,64.62
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,7,TRAIN,LOSS,0.9121637211608886
cifar10,resnet50,adagrad_l0.001_e100_w0.0001_d0_a0,1,7,TRAIN,ACC1,67.74
