DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,1,TRAIN,LOSS,2.085050164413452
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,1,TRAIN,ACC1,21.099999999999998
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,1,VALID,LOSS,2.1863931121826172
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,1,VALID,ACC1,21.450000000000003
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,2,TRAIN,LOSS,1.9282032329559327
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,2,TRAIN,ACC1,26.039999999999996
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,2,VALID,LOSS,2.5451523303985595
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,2,VALID,ACC1,19.112499999999997
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,3,TRAIN,LOSS,1.8607333961486816
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,3,TRAIN,ACC1,29.279999999999994
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,3,VALID,LOSS,2.2749463596343995
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,3,VALID,ACC1,21.537499999999998
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,4,TRAIN,LOSS,1.777289430618286
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,4,TRAIN,ACC1,31.240000000000002
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,4,VALID,LOSS,1.8847458686828613
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,4,VALID,ACC1,29.125
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,5,TRAIN,LOSS,1.7007222267150879
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,5,TRAIN,ACC1,34.31999999999999
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,5,VALID,LOSS,2.661718530654907
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,5,VALID,ACC1,19.599999999999994
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,6,TRAIN,LOSS,1.6775286041259765
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,6,TRAIN,ACC1,34.78
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,6,HYPER,LR,0.10009998874648379
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,6,VALID,LOSS,2.0370032138824463
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,6,VALID,ACC1,26.275000000000006
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,7,TRAIN,LOSS,1.6289043420791627
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,7,TRAIN,ACC1,35.18
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,7,HYPER,LR,0.10009998555019961
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,7,VALID,LOSS,2.2179258890151976
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,7,VALID,ACC1,26.349999999999994
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,8,TRAIN,LOSS,1.6141841186523438
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,8,TRAIN,ACC1,38.339999999999996
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,8,HYPER,LR,0.10009998144608981
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,8,VALID,LOSS,2.1019439544677736
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,8,VALID,ACC1,24.4
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,9,TRAIN,LOSS,1.5864276142120362
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,9,TRAIN,ACC1,38.519999999999996
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,9,HYPER,LR,0.100099976176309
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,9,VALID,LOSS,2.9765127296447753
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,9,VALID,ACC1,14.612499999999995
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,10,TRAIN,LOSS,1.5464435220718384
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,10,TRAIN,ACC1,40.68000000000001
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,10,HYPER,LR,0.1000999694097773
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,10,VALID,LOSS,2.2842306175231935
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,10,VALID,ACC1,30.600000000000005
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,11,TRAIN,LOSS,1.512459422492981
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,11,TRAIN,ACC1,42.1
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,11,HYPER,LR,0.10009996072137997
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,11,VALID,LOSS,2.4667247371673584
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,11,VALID,ACC1,27.3
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,12,TRAIN,LOSS,1.4976484378814696
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,12,TRAIN,ACC1,42.14
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,12,HYPER,LR,0.1000999495652592
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,12,VALID,LOSS,1.9258742790222168
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,12,VALID,ACC1,35.324999999999996
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,13,TRAIN,LOSS,1.4664307090759277
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,13,TRAIN,ACC1,44.34
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,13,HYPER,LR,0.10009993524052017
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,13,VALID,LOSS,2.416186513900757
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,13,VALID,ACC1,22.9375
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,14,TRAIN,LOSS,1.4416999603271485
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,14,TRAIN,ACC1,45.42
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,14,HYPER,LR,0.10009991684719721
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,14,VALID,LOSS,1.899250729560852
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,14,VALID,ACC1,37.525
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,15,TRAIN,LOSS,1.4052095920562744
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,15,TRAIN,ACC1,46.58
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,15,HYPER,LR,0.10009989322971298
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,15,VALID,LOSS,2.1297196617126466
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,15,VALID,ACC1,32.699999999999996
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,16,TRAIN,LOSS,1.38974574508667
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,16,TRAIN,ACC1,47.199999999999996
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,16,HYPER,LR,0.1000998629042793
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,16,VALID,LOSS,2.1290288944244384
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,16,VALID,ACC1,29.9875
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,17,TRAIN,LOSS,1.360084716796875
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,17,TRAIN,ACC1,49.019999999999996
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,17,HYPER,LR,0.10009982396567868
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,17,VALID,LOSS,1.8283437728881835
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,17,VALID,ACC1,36.387499999999996
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,18,TRAIN,LOSS,1.3243321414947509
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,18,TRAIN,ACC1,49.919999999999995
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,18,HYPER,LR,0.1000997739675702
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,18,VALID,LOSS,2.270339213371277
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,18,VALID,ACC1,29.037500000000005
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,19,TRAIN,LOSS,1.3064111040115356
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,19,TRAIN,ACC1,50.62
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,19,HYPER,LR,0.10009970976880148
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,19,VALID,LOSS,2.316411961555481
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,19,VALID,ACC1,31.612499999999997
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,20,TRAIN,LOSS,1.2893557302474976
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,20,TRAIN,ACC1,50.580000000000005
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,20,HYPER,LR,0.10009962733607158
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,20,VALID,LOSS,2.8372196455001832
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,20,VALID,ACC1,26.075000000000003
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,21,TRAIN,LOSS,1.2614640037536622
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,21,TRAIN,ACC1,52.900000000000006
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,21,HYPER,LR,0.10009952149055051
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,21,VALID,LOSS,2.3413112297058105
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,21,VALID,ACC1,30.349999999999998
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,22,TRAIN,LOSS,1.2445024974822998
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,22,TRAIN,ACC1,52.879999999999995
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,22,HYPER,LR,0.10009938558253978
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,22,VALID,LOSS,2.1772026329040526
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,22,VALID,ACC1,32.95
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,23,TRAIN,LOSS,1.2146670332908631
stl10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,23,TRAIN,ACC1,54.29999999999999
