DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,1,TRAIN,LOSS,0.3706068275384818
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,1,TRAIN,ACC1,87.12666666666667
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,1,HYPER,LR,0.1001
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,1,VALID,LOSS,0.8527484001162268
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,1,VALID,ACC1,66.35526315789474
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,2,TRAIN,LOSS,0.3046510763667535
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,2,TRAIN,ACC1,89.93666666666667
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,2,HYPER,LR,0.1001
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,2,VALID,LOSS,0.8881099938992387
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,2,VALID,ACC1,68.0
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,3,TRAIN,LOSS,0.28535228647404387
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,3,TRAIN,ACC1,90.40583333333333
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,3,HYPER,LR,0.1001
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,3,VALID,LOSS,0.5448016253300283
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,3,VALID,ACC1,77.89473684210526
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,4,TRAIN,LOSS,0.2733532744578825
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,4,TRAIN,ACC1,90.83
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,4,HYPER,LR,0.1001
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,4,VALID,LOSS,0.564853327511105
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,4,VALID,ACC1,76.61842105263158
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a70_b0.8,1,5,TRAIN,LOSS,0.26421484890353525
