DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,1,TRAIN,LOSS,0.678240013995393
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,1,TRAIN,ACC1,75.70416666666667
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,1,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,1,VALID,LOSS,0.5718927524732218
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,1,VALID,ACC1,81.77631578947368
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,2,TRAIN,LOSS,0.5036682490148071
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,2,TRAIN,ACC1,84.95083333333334
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,2,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,2,VALID,LOSS,0.5173356135159217
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,2,VALID,ACC1,82.90789473684211
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,3,TRAIN,LOSS,0.4615700681116928
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,3,TRAIN,ACC1,86.07916666666667
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,3,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,3,VALID,LOSS,0.48402796787666996
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,3,VALID,ACC1,83.69736842105263
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,4,TRAIN,LOSS,0.4395226121635721
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,4,TRAIN,ACC1,86.685
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,4,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,4,VALID,LOSS,0.43918683518775536
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,4,VALID,ACC1,85.02631578947368
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,5,TRAIN,LOSS,0.42454829499063024
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,5,TRAIN,ACC1,87.13333333333333
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,5,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,5,VALID,LOSS,0.471723512575142
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,5,VALID,ACC1,83.65789473684211
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,6,TRAIN,LOSS,0.41394655885166276
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,6,TRAIN,ACC1,87.31166666666667
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,6,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,6,VALID,LOSS,0.46139224810069046
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,6,VALID,ACC1,83.92105263157895
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,7,TRAIN,LOSS,0.40646828704856713
agnews,rcnn,adagrad_l0.001_e20_w0.0001_d0_a0,1,7,TRAIN,ACC1,87.61
