DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,0.4735372425165007
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,82.97250000000001
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,1,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,1,VALID,LOSS,0.4374925475656423
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,1,VALID,ACC1,84.67105263157895
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,0.42884047339688514
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,85.185
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,2,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,2,VALID,LOSS,0.452312017877007
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,2,VALID,ACC1,83.80263157894736
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,0.41647409857432893
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,85.56833333333333
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,3,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,3,VALID,LOSS,0.3878642040987761
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,3,VALID,ACC1,86.92105263157895
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,0.3994988045658747
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,4,TRAIN,ACC1,86.24666666666667
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,4,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,4,VALID,LOSS,0.34119507579817737
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,4,VALID,ACC1,88.36842105263159
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,5,TRAIN,LOSS,0.3878581016573673
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,5,TRAIN,ACC1,86.87
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,5,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,5,VALID,LOSS,0.3424449168043395
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,5,VALID,ACC1,88.25
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,6,TRAIN,LOSS,0.37796117108769617
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,6,TRAIN,ACC1,87.15416666666667
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,6,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,6,VALID,LOSS,0.3365398924676293
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,6,VALID,ACC1,88.53947368421052
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,7,TRAIN,LOSS,0.37172542036229916
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,7,TRAIN,ACC1,87.37333333333333
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,7,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,7,VALID,LOSS,0.349738475993808
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,7,VALID,ACC1,87.78947368421053
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,8,TRAIN,LOSS,0.3636476835883569
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,8,TRAIN,ACC1,87.82333333333334
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,8,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,8,VALID,LOSS,0.3616715731880895
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,8,VALID,ACC1,87.26315789473685
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,9,TRAIN,LOSS,0.3554017863466537
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,9,TRAIN,ACC1,88.00166666666667
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,9,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,9,VALID,LOSS,0.334822718304633
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,9,VALID,ACC1,88.42105263157895
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,10,TRAIN,LOSS,0.3480084299281898
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,10,TRAIN,ACC1,88.33166666666666
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,10,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,10,VALID,LOSS,0.29349143803482286
agnews,rcnn,sgd_l0.01_e10_w0.0001_m0.9_nf,1,10,VALID,ACC1,90.01315789473684
